index,score,text
34,10,간만에 감동적인 영화를 잼나게 봤네요연기자들 연기도 스토리도 탄탄했어요많이들보시고 힐링하시길 바래요
35,5,머랄까 좀 억지스러운 감동 연출도 특별할것 없고중반부부터는 영화가 너무 뻔해지고 너무 당연하게 슬퍼지는 느낌입니다루즈함이 좀 많고 가족영화임을 감안해도 상당히 루즈합니다솔직히 집에서 혼자 본다면 감
36,10,아역 배우 박소이의 활약이 돋보인다
37,1,그들만의 공식 항상 높은 첫 평점
38,1,내용이좀 개연성도 없고 마지막 좀 어이없어요애기이쁘고 배우 연기말고 좀 그냥 그랫어요
39,7,초반엔 좋았는데  고질적신파라  눈물이  나려하다가 들어가네요 연기는 좋습니다
40,1,너무 흔한 스토리감흥 없음
41,1,이거 보고 눈물 안흘리면 영화를 잘 파악한거라고 보면됨어디 사람 눈물샘가지고 장난치려그래;;
42,10,같이 있다보면 가족이 될 수 밖에 없다 다들 따뜻한 사람들
43,10,보고 있으면 마음이 편해지는 하지원의 연기 성동일 김희원 김윤진 배우분들도 연기 훌륭하고 내용도 좋네요
44,6,스토리가 너무 진부해요  아역배우 덕분에 끝까지 포기하지 않고 봤어요 하지만 울긴 엄청 울었네요
45,1,별점 0점 없어서 1점 드림2시간 동안 눈물만 쥐어짤라고 애쓰는 JK 필름식 노잼 영화
46,10,역시 기대하고 봤는데 재미있었어요배우님들 케미 폭팔담보도 너무 귀여워요
47,10,추석에 온가족이 볼수 있는 따뜻하고 마음 훈훈해지는 영화에요 만날 칼로 찌르고 죽이고 이런 영화들만 보다가 이런 감성의 영화를 보니 오랜만에 좋았어요
48,4,신파한움큼 눈물담보두주먹 추석대개봉 김희원씨만 아깝다 지원씨 동일씨 좀 쉬세요
49,1,영화가 이미 너무 뻔하다 감동을 강요하는 마치 이장면에서 안울거야 이래도 안울거야 이래도 예고편부터 예상되는 억지감동 이랄까 반전도 없고 진부하고 모든게 다 '감동'키워드에 맞춰서 제작된 조
50,4,스토리 개연성 부족 억지 감동 유발소이가 다했다
51,2,모든 상업영화가 그러하듯이 가볍게 웃고 즐기다 가는 그런 영화를 생각하며 영화관에 갔지만모든게 기대 이하였다 성동일 하지윈 등등 이런 배우들을 데리고 이런 삼류 영화보다도 못 한 이야기를 만든다
52,10,재미와 감동 모두 있었습니다 추천해요
53,1,김윤진같은 엄마가 어딨나 살면서 절대 엮여서 안될 인물 중 으뜸이다 이렇게 무책임영화가 신파는 좋은데 적어도 스토리가 튼튼해야지 
54,1,뻔한 클리셰에 지친다 지쳐  
55,10,성동일은 이런 역할이 딱인것 같다 
56,10,진짜 힐링무비♥ 꼭 보세요
57,10,담보는 보물이엇다 재밌습니다
58,1,이젠 영화다운 영화가 보고 싶다 어찌하다가 한국영화가  개돼지 정치영화 공장에서 찍어낸 졸작이나 신파만 끼얹은 즙짜기 최루탄 영화 외에는 만들지 못하는 현실이 되어버렸는가 반성 해야한다 이제는 좀 작작해라
59,1,영화 도중 30분을 나갔다 와도 줄거리를 다 이해할 수 있는신기한 영화
60,10,여자아이와 성동이 영화를 살렸네요 엄청울고갑니다
61,1,영화 보면서 돈 아깝다는 생각이 들은 영화는 이 영화가 처음이였다크게 2가지 부분이 문제였는데 첫 번째는 연출이였고 두 번째는 신파극적인 억지 눈물유도였다연출 부분은 장소선정 부분에서 집중이 되질 않았다1 
62,7,전형적인 감동 유발 한국영화 간혹 나타나는 무리수 전개가 실소를 자아내게 한다 다만 영화 스토리 구성 및 본바탕은 재미가 있다
63,2,연가자 라인업 봤을때 진짜 연기력 측면에서는 어디하나 아쉬울게 없다고 생각하고 믿고 봤는데줄거리 무엇  울었다고 하시고 감동받았다고 하시는 분들 정말인가요 시간과 돈이 너무나 아까웠습니다
64,1,추석특집 JK필름의 똥 한개도 아깝다
65,10,실력파 배우들 사이에 아역요즘 사람들에게 꼭 필요한 인간적인 내용감동적입니다
66,1,억지눈물뽑기가 심함
67,10,진짜 인생영화라고 할 정도로 너무 재밌고 슬프고 감동적이에요  승이 너무 귀야어 
68,2,조선족은 불쌍하고 핍박받는 존재로 설정 조선족 신분 급상승하고 한국인 조선족 뒤치닥거리하다 뭣됨 이딴 영화 왜 만드냐
69,1,신파를 팔아 쳐먹어도 적당히 만들고 팔아쳐먹어야지
70,1,한국영화는 맨날 똑같아 이 조합도 지겨움
71,10,추천 꼭 보세요강츤
72,1,평점 좋은건 다 댓글알바임 진짜 스토리 개연성 다 갖다버렸는데 연기는 무슨연기 개뜬금없는 전개에 감성팔이라도 해보려고 할 수 있는건 다 끼워맞췄건만 배우들 연기력이 아까운 영화가 되고 말았네요 심지어 제일 
73,1,전형적인 공식대로 찍은 공장영화2020년도 영화가 맞나 싶다  감독이 영화를 공식으로만 배운듯
74,6,함께 보러간 엄마는 잼있었단다 60대엄마가 초등학생 딸한명 입양하고 싶다하심 난 억지전개와 억지감동 조금만 뺐더라면 훨씬 좋았을것같다
75,10,예상은 하고갔다 휴먼 스토리겠구나  아역의 훌륭한 연기와 믿고보는 세배우의 연기력이 오랜만에 눈물샘을 터트리게 하는 감동이 있었다
76,10,세 배우의 케미가 넘 좋아요 아역배우 넘 귀여워요
77,1,네이버평점에 또 낚였네 할말을 잃었다 진짜 
78,1,이 영화의 성공으로 한국영화는 몰개연성과 신파에 잠식당해 망하게 됩니다 JK필름 노답이다 진심 별 생각없이 귀엽고 슬프면 다 좋아하는 4050대를 타겟으로 했으니 10년 뒤에는 아무도 봐주지 않을거야
79,1,시간 아까워요 보지마세요 내인생 최악의 영화
80,1,스토리 개연성이 너무 떨어지고 억지로 짜맞추는 느낌이 강합니다채무자딸을 23일 담보로 맡았다고 그 정으로 자기 전재산을 팔아서 돈 물어주고 본인 호적넣고 키워주는 성동일을 이해할수있는 과정에 대한 설명이 부족하고
81,10,가족과 함께 볼만해요
82,10,재미집니다꼭보셔
83,10,배우들 연기력 덕분에 재밌게 봤네요 
84,1,진짜 관람평 앵간해서 안쓰는데 진짜 재미없어요 스토리 개연성이 그지같음  차라리 볼꺼면 그린랜드 보세요 재난영화는 보는 맛이라도 있지 이건 진짜 말도 안나옴
85,10,가족들이랑 보기 너무 좋았어요
86,1,뻔히 알면서도 울 수 있으면 좋으련만 아역 포함 배우들의 주문 연기와 지나친 감동유발용 꾀부림은 그나마도 못하게 만든다
87,9,스토리는 뻔하지만 감동은 충분했다
88,1,성동일김희원 배우님 너무 좋아합니다 그런데방금 대구롯데*네마에서 보구 나왔어요 하도 댓글이 감동감동 위주의 높은 평점을 마냥 믿고 보았는데 초반부터 슬적슬적 억지스런 스토리전개 억지감동 억지웃음 완
89,1,도대체 이런 배우들을 이런 영화에 왜눈물 좀 뽑아보겠다는 것 같은데 진짜 너무 뻔하디 뻔해서 웃음만 나왔다 좋았다는 사람들 다 알반가
90,1,오토바이 뒤에 대문짝만하게 퀵서비스 회사도 있고 지갑도 있고 핸드폰도 있고 집도 찾는 가족도 있는 양반을 고속도로에서 교통사고 났다고 요양원에 보내요 감동코드는 친엄마에서 끝냈어야됨  감동으로 눈물은
91,9,재밌어요
92,1,분명히 처음 본 영환데 익숙한 느낌적당히 하자 제발
93,1,억지다 억지90년대 배경 90년대 갬성 억지감동에 억지눈물 90년대 생은 공감하기 어려운 감성이었네요 평점은 왜 이렇게 높은지
94,1,짜라짜라 억지로 짜서 짜빠구니
95,1,#믿고거르는한국영화 #스크린쿼터폐지  -1010점드립니다 억지감동에개연성없는한국영화입니다 시간아까워요
96,10,진짜 기대 하나도 안하고 봤는데 너무 재미있게 잘 봤습니다 박소이양 완전 귀여워요 내용 너무 감동적이고 엄마랑 같이보러갔는데 엄마도 재밌다구 하셨습니다
97,10,김희원팬이라 꼭 보고싶었어요그리고 성동일 하지원 도 연기 잘해서 좋았어요오래간만에 영화보고 힐링하고 왔네요눈물나고 웃고 하는 사이에 시간이 금방가네요꼭보세요강추
98,10,2020년 최고의 영화 담보
99,1,개연성 없는 스토리와 강제 즙짜기 강요 꼬마배우 땜에 1점 겨우 드립니다 억지로 보느라 힘들었네요
100,10,오 문희는  솔직히 좀 실망스러웠는데담보는 지루함없이 중간중간눈물 콧물 흘리며잼있게 보고나왔어요 믿고보는 배우 성동일님 외나머지 배우들 모두 훌륭했어요
102,4,연기는 너무 좋으나 뻔할 뻔자+ 신파를 위한 너무 억지요소들
103,2,아오 알바들 한테 낚였네 영화시작전에 기차나오면서 JK필름나왔을때 도망나왔어야했는데 이런 시나리오의 영화를 러닝타임 두시간을봤다내가 이런 탑급배우들한테 안미안합니까 이런 연출과스토리 JK는 진짜 한국영화성장의 걸림
104,10,오랜만에 감동적인 영화였습니다 추천합니당
105,1,재미없어요 억지스러운 내용이 좀 있네요
106,2,신파인데 눈물이 안남 뻔한 복선에 현실과 안맞는 진행 감독의 의도를 파악하기 힘드네요
107,2,1993년 배경이라 93년에 만들어진 영화인가요
108,2,961은 진짜 아니야7점
109,5,평점이 너무 높아서 기대했던 탓일까요부모님과 같이 봤는데 다행히 부모님은 나쁘지 않았다고 하셨습니다만개연성이 중요치 않은 장르라고 해도 개연성이 많이 없습니다 울어 울어 줄거지라고 말하는 듯한 촌스
110,1, 개쌉노잼 2020년에 나온 영화 맞냐
111,1,지루합니다 나머지도 해라
112,1,쓰1레기 한국영화 거르는 법: 신파 영화 제목이 두세 글자
113,1,JK필름 영화다 그럼 또 억지로 눈물을 쥐어짜겠지 개연성 다버리고 거르고본다
114,9,추석때 가족과 함께 볼만한 영화로 굿이에요
115,10,담보가 보물이 되다
116,1,추석때 이런거좀 안찍으면 안되냐 매번 억지울음 전혀감동적이지않고 스토리가 억지로 끼워맞춘느낌
117,7,이게 K신파다 이놈들아스토리는 망했지만 연기력으로 후려친다 너무 늘어져서 졸림
118,10,명절에 재미있게 잘 봤네요 돈 아깝지 않습니다
119,10,넘 감동이었습니다 많이 울었어요
120,10,영화를 보는 내내 웃다 울다를 몇번이나 반복한지 모르내요 감동적입니다 지금같은 사회에 꼭한번 보고가야할 영화내요 화이팅
121,10,눈물나는 힐링무비 또 봐야지
122,10,배우들 연기력이 진짜 최고 엄청 슬퍼요
123,4,우리나라 드라마나 영화수준이 너무높아서 그런지 솔직히 스토리는 진부했음 그나마 배우들의 매력과 연기로 커버된 느낌 하지만 스토리의 진부함을 잊을 정도로 감정선이 자극되어 조용히 보러갔다가 꺼이꺼이 울고나옴
124,10,뻔한 이야기일 것 같아서 안 보려고 했는데 평점이 높길래 봤어요 눈물콧물웃음 잔뜩 빼고 나왔습니다 정말 재미있네요
125,10,다들 연기도 너무 잘하시고 영화도 재밌었어요 가족 생각나게 하는 영화네요
126,10,추석 가족 영화로는 볼만은 할듯아역 배우 분의 하드캐리와 성동일 배우 분의 감동연기 김희원 배우 분의 코믹이 어찌저찌 맞아떨어짐
127,1,감동도없고 개그도없고 돈아깝고
128,10,성동일에 아버지같은 혼의연기가그대로담긴영화몰입되어잘봤어요
129,10,승이와 성동일의 캐미가 넘 좋았어요
130,1,평점에 속지마세요 스토리 엉망입니다 개연성도 하나도 없고 억지 감동 우겨넣는것도 심합니다
131,1,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다
132,10,오랜만에 가슴울리는 영화를 보았어요감동과 가슴울림 굿굿
133,2,아 또 신파입니까 안 보러 가고싶네요
134,2,아니진짜 너무 별로고 개연성이나 진짜 평점알바인거에요 아님 진짜 나만 별로인거야억즙도안나오고 뭐지 싶어요
135,2,리뷰랑 평점이 너무 좋아서 오늘 보러갔는 너무 뜬금없고 연기도 어색하고  몰입이 하나도 안되었어요 시대도 1990년대인지 2020년인지 너무 분명하지도 않고 빌딩도 그냥 나오고 아파트 방음벽 다 보이고 
136,8,예측 가능한 스토리를 배우들의 연기로 살림
137,2,억지감동 스토리 개연성 개같고 전형적임 심지어 재미도 없음승이는 귀여움
138,4,너무 뻔한 스토리에 억지로 관객눈물 호소하는 영화
139,4,감동적인 영화이나 성동일 연기가 다했다고 보는 영화예고편에 나왔던 장면들 말고는 기억나는 장면이라곤 없고 성동일 연기말고도 기억나는게 없다친아버지를 만났다면 그뒤에 스토리가 조금이나마 있었으면 좋았을것이고 갑자
140,10,소이양 너무 예쁘네요 매력덩어리♥
141,10,가족들이랑 함께 보기 좋은 영화인것 같아요
142,10,끝에 눈물 나요아버지께 잘해야 겠네요
143,10,감동감동 다들 연기는 왜이렇게 잘하시는지
144,8,탄탄한 스토리와 배우들의 열연으로 잘보았습니다대박나겠네요
145,10,가족영화라 재미가있고  가족에소중함을 느끼는영화임
146,10,소소한 재미와 잔잔한 감동이 흐르는 가족영화
147,10,재밌어용 엄마랑 보러가세용
148,1,올 추석 최악의 영화 조선족의 환상을 채워주는 조선족 전용 대리만족용 영화 한국을 그렇게 욕하는 그들이 역설적으로 얼마나 한국에 목을 매는지 잘 보여주는 작품 조선족이 중국어 통역으로 출세하고(조선족이 점령한 직
149,10,감동두 있구 재미두 있네요
150,10,추석에 가족들과 같이 볼수있는따뜻한 영화네요
151,3,아역배우 보는 맛으로 겨우 버티면서 봤는뎅 노잼이다 걍
152,2,포스터와 영화 줄거리를 보고 제발 정말 뻔하디 뻔한 억지 신파 영화가 아니길 바랬는데 역시나였어요 보는 내내 예상한대로 다 흘러가서 내적 짜증이
154,1,여러분 알바에 낚이지 마세요
155,2,그다지 나에게는 맞지 않은 영화네요
156,1,이것은 1점이 아니다 11점을 주고싶은 나의 마음이다
157,1,논리적으로 말이 안되는게 너무 많음 1아저씨가 바보가 되었어도 신원할 수 있는 방법이 두가지 넘게 있었음 1)오토바이에 승보익스프레스라고 적혀있는것 2)오토바이 등록번호 3)지문 등등 2 여자애가 어렸을때가
158,1,신파로 범벅이 됨 개연성은 안드로메드로스토리 생각 안하고 연기만 그나마 봐줄만집에서 누워서 넷플릭스 보는게 훨나음
159,2,엄청 돈 아까움 보지마세요
160,2,재미가없어요 웃음포인트가 없네요
161,1,억지감동 이게 영화인가기승전결은 개나 주고 그냥 계속 슬퍼라 슬퍼라 주문거는영화 추석아녔음 3일만에 내려갈듯
162,4,억지스러운 부분이 너무 많음 전교수석하면서 대학간 애가 용돈을 모으려고 과외가 아니라 공장을 간다고 오토바이 번호판 조회하면 누구건지 나올텐데 10년을 못찾았다고그나마 다들 연기를 잘해서 4점 줌스토리는 
163,2,난 슬픈 노래 1분만 들어도 울 만큼 눈물 많은 사람인데영화 보는 내내 눈물은 안나왔다 그냥 그렇다
164,1,스토리에 개연성이 하나도 없고아역배우 데려다 억지 감동 억지 웃음 짜내고 있음 영화보다 중간에 나와본거 처음이였어요
165,1,경제강국인 한국이 아직도 영화는 후진국 수준임을 여실히 보여주는 어이없는 신파 졸작 언제까지 이런 영화 만들거냐 진짜 한심하다 오십대 이상 아재 아줌마들도 명절연휴때 할일이 없으니 이거라도 보러가는거 제발 그만
166,1,알바들의 높은 평점에 눈물이
167,10,봐라 절대 후회 안한다 눈물 진짜많이 흘리면서 봤다
168,2,막판에 뻔한전개와 급마무리느낌 느닷없는 뇌경색과 실종후 10년간 못찾은게 어이없음 애기때문에 별1개라도 준다
169,6,배우들 연기는 좋았으나 스토리의 개연성이 떨어지고 작정하고 감동/슬픔 포인트 넣은게 보여서 나오려던 눈물도 들어갔습니다
170,2, 영화관 사람들 다 욕하면서 나옴난 혼자봐서 맘속으로 욕함박소이 귀여운거 빼고는 없는영화너무 루즈하고 마음속에 아 언제끝나냐 하는 마음만있어서 슬프지도 않았음예고편이 다임
171,4,아역 연기력말곤 볼거 없음마지막 뜬금없는 개연성
172,4,아 진짜 억지로 눈물빼려고 하는 영화임;; 가족이랑은 절대보지 마세요 이게 12세라고 19세 영화에 가까운 15세 영화처럼 이 영화는 15세에 가까운 12세임;; 애들 보여주기 해롭다 진짜이건 배드엔딩도 
173,10,보물이 된다 따뜻한 영화 재밌게 봤네요
174,10,연기 스토리 전부 일품입니다 신파안좋아하는데 재밌게 봤네요 스토리가 자연스러움
175,8,억지로 웃길려는 그런영화겠거니 생각하고진짜 기대 없이봤는데요 보는내내 뭉클뭉클눈물훔치며 봤네요 마음따뜻한영화 추천이예요
176,10,오랜만에 뭉클한 가족영화
177,10,소이 너무귀여워서 울다웃다했어요
178,10,담보는 보물 입니다잔잔한 감동에 성동일씨 입담까지 좋은 영화 입니다
179,1,JK 필름 + 추석를 노리는 이 악직한 놈들은 코시국에도 왔군요 대단하다 저는 어쩔 수 없이 봤지만 여러분들의 시간은 소중하니깐요 여러분들은 마스크 쓰고 답답한 곳에서 이런 거 보지 마세요
180,10,감동적인 영화입니다 가족끼리 볼만한 좋은 영화 임 강추합니다
181,1,진지하게 평점알바셋기들 다 패야한다  요즘세상에는 관람객평점은 걸러라 너네들 생각해봐라 본 다음에 네이버 관람객평쓰기에 들어가서 평쓰냐 관람객평 거의 다 알바다희대의 OOO영화 중 하나다
182,1,얄팍한 상술로 인해 괜찮은 배우들까지 망쳐놓는 꼼수 영화
183,10,일단 담보가 너무 연기를 잘하고 귀여워요  너무 재밌게 잘 봤어여 감동적이에요
184,2,시간을 담보로 봄결국 날림
185,2,국제수사 최악이라고 걸러서 담보 봤는데담오는줄 차라리 국제수사 볼껄어디서 울어야 할지 웃아야 할지감독머리에는 개연성 이라는 단어가 없는분 인듯올해본 영화중 최악
186,1,그냥 그 공장 그 솜씨로 찍어낸 기성품
187,2,도대체가 두석(성동일)이 아프다는 설정으로오토바이사고를 당하고 그 이후 담보가 결국 10년 넘게 찾다가 두석을 찾게되며 해피엔딩을 끝나야 되는지 이유를 모르겠어요 뻔한 억지감동스토리를 넣겠다는 이유겠죠그리고 종배
188,1,방금 보고 나왔는데 박소이양 빼면 아무것도 아닌 영화 이 영화를 표현하자면 90년대 가족드라마에서 나올 신파들을 한시간 반짜리 영화에 모두 쑤셔 넣은 억즙 영화인데 내년 추석에 티비에 나와도 그냥 안보고 패스할 것
189,10,성동일 김희원 티키타카 너무 재밌었음
190,2,영화관 가지 마세요 제발 코로나 끝냅시다
191,10,자극적이지 않아 더 마음에 드는 영화
192,2,이런 쓰레기영화좀 그만만들었으면 배우들은 시나리오좀 잘 검토하고 찍으세요 평판만 낮아지니까스토리가 결말까지 예상대로 흘러가서 개연성없는 장면도 자연스럽게 넘어가고 그냥 00년대 킬링타임으로 읽는 인터넷소설보다
193,1,믿고거르는 JK 
194,1,개똥같은 영화 어떻게든 끼워맞춰서 관객들 울려보려는 뻔한영화 잘보고 갑니다
195,1,10분만봐도 완결까지 스토리가 예상되는 영화아역만 처음에 굴려서 신파극으로 가버리려 했지만허접한 개그와 억지로 눈물 즙짜내기에 조합으로코로나 떄문에 사람이 없는 지금 빈집털이를 노려본 영화 수준
196,1,이걸영화라고 휴 그냥초딩용영화
197,2,색다른 경험을 했네요 돈보다도 내 시간이 너무 아까워 한 시간 참고 보다가 극장을 나왔습니다 처음 해 본 일입니다 그  정도로 최악입니다 각본  연출 연기 모두 다 총체적 난국 연기도 안되는 어린애 데려다 그냥 신파
198,10,다들 연기가  눈물이 눈물이   
199,10,LOJS  이분은 시사회라는걸 모르시는듯
200,10,재밌어요 또 보러 가고싶어요
201,10,억지 스토리 및 감동이 아니고 연기구멍이 하나도 없고 감동적이고 잘 만든 영화다 꼬마 연기자는 장차 훌륭한 배우가 될 듯 하다
202,4,난 왜케 재미없고 지루했지평이 다좋은게  이해가안가네
203,6,이게 96  왓챠에선 25던데 왓챠 
204,6,스토리 전개가 예상이 너무 되어서 그냥 킬링 타임용 K신파극용 스토리였어요 웃음 포인트는 딱히 못찾았고 그냥 쏘쏘한 영화 였어요 평점 높은건 이해가 좀
205,1,조선족 미화 영화 진부한 스토리 신파 범벅
206,6,눈물을 강요당하는 전형적인 JK필름의 명절영화
207,5,영화가 다 좋고 잼나고 감동도 있고 한데 넘 황당한게 무슨 교통사고나면 앞뒤두서없이 확인도 안하고 희망원인지 나발인지 다 갖다쳐넣음 불법체류자까지야 이해를 하겠다만무슨 대한민국 국민이고 집
208,10,꼭봐요두번봐요자세한 설명은 생략합니다
209,10,성동일님의 그 먹먹한 표정을 보면 알게 모르게 나까지 뭉클해지던 영화
210,10,너무나 재밌고 감동이 많은 영화였어요
211,10,진짜 너무 감동적이야 특히 담보 어린 역할 하신분과 성동일 씨의 케미가 되게 어울려서 더욱 몰입이 잘 되었던 것 같음 진짜 강추 안 보신 분들은 꼭 보시면 좋을 듯
212,4,억지 신파  영화는  울어라 울어라  계속 다그치는데  눈물이 안났다   첨부터 끝까지 노잼명절에 티비에서 해주면 볼 정도의 수준 영상미 노 스토리 그닥 극장에서 볼 이유가 1도 없음   내가 신파를 유
213,2,저한테는 잘 안맞는 영화였네요
214,6,성동일 님의 욕만 남은 영화(/
215,6,연기는 좋았는데 연출 및 영상미가 많이 떨어져서 영화라기보단 토일드라마 급으로 나왔음 개인적으로 B급 감동영화 // 애기는 귀여움
216,4,스토리가 너무 어거지였음하지만 아이연기가 좋았음
217,1,뻔해도 너무 뻔한 감성팔이 영화 재미도 감동도 없음 돈을 빌리면 갚는게 인지상정이며 불법체류에 밀수까지하는데 이 영화는 빚쟁이 및 조선족 옹호 영화 같음 돈이 아까움
218,1,애매율1위고 평좋아서 봤는데 전개가 지루하고 뻔해서 실망했음죽지않는인간들의 밤 볼걸 후회됨
219,4,아니 너무 뻔하지 않았나 내가 감수성이 없는겅가
220,1,나안울었다 안울었다고
221,4,돈 내고 영화관 가서 보지마시고 그냥 티비에서 해줄 때 보십시오;;; 9점이 넘는게 너무 신기할따름 억지감동 어케든 쥐어짜내려고 열심히 고심한 모습만 칭찬
223,1,이런 호화 캐스팅발로 억지 신파극을 만드는 한국영화의 힘
224,2,으 조선족 언급조차 하지 말아주세요
225,2,전형적인 신파극영화 특히 마지막에 개연성이 매우 떨어진다 1000원도 아깝다
226,10,박소이 가 넘 귀여워  훗날에 전지현 같은 예쁜 배우가  될수 있겟다
227,8,요즘시대에 힐링되는 영화
228,10,가족들과 같이 보기 좋은 감동 드라마
229,1,억즙이 제일싫아 어휴
230,1,진짜 개좁빱영화 발로 만들었냐 JK필름이 JK필름 했다 진짜 추석때 개봉하고 댓글알바 하면 대박날줄 알았겠지 윤제균은 이제 진짜 믿거
231,7,성동일 연기가 매우 뛰어나고 감동이 있었다한 가지 아쉬운건 억지가 약간 보였다고 할까
232,10,넘 감동이에요아저씨한테 아빠라고 이야기를 한 부분에서 많은 감동과 눈물이 나왔어요
233,1,안봤는데 노잼이다
234,9,추석 명절 가족들과 보기에 딱인 영화입니다 아역배우 연기도 너무 귀여웠어요
235,1,평점 높은 건 다 조선족 댓글 알바인가요 불법체류자 조선족이 주인공이라니 기가 막히는 설정이네요; 대한민국 국민보다 더 큰 혜택 누리면서 세금은 안 내고 돈 버는 족족 중국으로 보내고 본인들은 한국인이라고 
236,8,잔잔하면서도 감동적인 영화였어요연기자분들의 연기가 좋았어요
237,10,소이 너무 사랑스러워요
238,10,처음엔 웃다가 나중엔 너무 울어서 눈이 토끼눈이 되었다고 한다
239,10,가슴이 따뜻해 지는 영화입니다아역 너무 귀여움 
240,10,마스크 여분 챙겨가시는게 좋아여 눈물콧물 다 나옴
241,10,감동이 있는 영화 울림이 있는 영화배우분들의 연기그리고 하지원님 미모 대박입니다다들 영화 보러 가기 전에 휴지 꼭 가져가세요
242,10,하지원이 성도일에게 아빠라고 부를때  꺼이꺼이 울었음
243,10,오랜만에 따듯한 가족영화를 봤어요 그동안 잊고있었던 훈훈함이네요
244,10,아버지가 생각났어요 네 주인공 위주로 타이트하게 나와서 스토리가 곁가지도 없고 집중하며 감동먹고 봤어요 어쩌다 개봉이 밀려 명절까지 왔지만 명절에 딱 볼만한 가족영화인거같아요 굿
245,8,추석명절 가족과 함께 보기 좋은 평범하면서도 그 평범한 마음을 살짝 스치는 감동드라마입니다
246,10,추석에 가족끼리 보기 좋은듯 스토리는 좀 뻔할 수 있어도 따뜻하고 좋다
247,9,영화보면서 잘 울지않는데  눈물 콧물터짐
248,10,잘 참다 마지막에 눈물샘 터짐
249,10,아기담보가 최고다
250,10,힐링되는  영화다 진심 최고로  행복하고  즐거운 영화
251,10,영화 보실때 손수건 하나씩 꼭 챙겨가세요  
252,1,배우들과 개요 스토리를 보고 마음의 준비는 하고 있었지만 조선족 불체자에 남편은 바람나서 돈 가지고 튀었다는 설정을 보는 순간 저는 정신을 잃고 말았습니다
253,1,마지막 장면에서 10분동안 시간가는줄도 모르고 웃었습니다 영화 내용은 억지에 최악이였구요 마지막 장면때문에 웃겨서 1점드립니다
254,6,하지원이 78년생 엄마역할이신분이 73년생 아무리 하지원님이 20대 같다지만 몰입 안됐음   그리고 하지원님 너무 오랜만에 봐서그런가 아저씨라고 부르다 아빠 이랬을때 너무 오글거렸음  평점 
