score,text
2,자막테러에 영화테러에 난 얻어맞으려고 간거야??? 박지훈씨 당신은 대체 무슨 인맥으로 번역가를 하는거요?
10,모든 것은 저스티스리그를 위한 희생작
10,마블의 경쾌함은 없어도 디씨만의 묵직함이 좋았습니다.
8,밴애플렉. 갤가돗. 헨리카빌.. 너무 좋은 캐스팅.하지만 난잡한 후반부 스토리는 커버할 수 없었다.
7,시사회다녀왔는데 저스티스 리그를항한영화랄까? 좀 중간중간 아쉬운부분이있네요.  히어로들 떡밥이많이나옵니다. 무엇보다 배트모빌씬은 최곱니다. ost는 말이필요없습니다.
1,자막 이거 사람이냐? 어떤놈이여? 스토리도  개 허망하고  스토리가 썬가드여
1,1점준 이유를 첫번째로 뽑자면 스토리의 폭망이다두번째는 번역  데드풀 하고 비교해보면 엄청난 차이다 술마시고 번역한게 아니라 말짱한 정신에 했다면 영화계를 위해 그만두는걸 추천한다
1,자신의 팬들을 마블로 걷어차버린 DC
1,대결에는 이유가 있다더니 이유가 없다.
8,뭔가 아쉬운감이들면서도 잼있었다...원더우먼 생각지도 못한...역시 ㅎㅎ
10,"배트맨, 슈퍼맨, 원더우먼의 액션을 한꺼번에 볼수 있다는 것만으로도 짜릿했고 멋졌다. 저스티스리그의 전초전으로써의 임무는 충분히 다했다  분명한건 망작은 아니다"
5,개인적으로 사람들이 마블을 너무 빨아재껴서 얄밉기도 하고 뭔가 정통성있고 무게감있는게 좋아서 [DC]를 더 좋아했는데 너무 처참한듯...이제 남은건 수어사이드랑 [블리자드]의 워크래프트 뿐인가
1,"잭 스나이더하고 박지훈에게 일거리 주는 분, 누구쇼?"
1,"자막도 별로지만 자막이 문제가 아니다. 로튼토마토 40도 못넘는건 이유가 있다. 개연성없는 메타휴먼,  창 버렸다 줍는 로이스 레인, 총기난사살인마된 배트맨,  뇌에 우동사리가 들어간 수퍼맨 대립하다 엄마이름 같다고..."
1,앞으로 친구랑 싸우면 엄마성함 물어봐야징
8,저스티스 리그는 다른감독으로 좀...
10,"아니  전 개인적으로 자막이 이상한걸 잘 모르겠던데, 초반에는 조금 지루하지만  나름 재미있게 관람했습니다.  다음 화를 위한  영화라고 생각하시면 됩니다. 후반부에는 볼거리도 많구요."
8,크리스찬 베일 배트맨 생각 안나게 한 자체가 성공이라 봄
8,방금 밤 12시 5분 영화 보고 옴. 배트맨만 따로 제작하먼 좋지 않을까 생각했다. 배트맨이 살린 영화. 엑스맨 데이즈 오브 퓨처 패스트만큼의 감동은 없었음. 참고로 다들 앉아서 엔딩크레딧 기다렸는데 없음.
10,기대했던거 보다는 아쉬운 부분들이 조금 많았다. 하지만 벤에플렉 배트맨 최고였고 원더우먼 존예 존멋이다.
8,꿈장면 회상장면 계속나와서 인셉션인줄알았음 죽이네마네 하던 배트맨 그렇게한번에 잠잠해진게 의문이들었음
8,한줄 평으로 스포일러 남기는거 진짜 아니다. 영화가 마음에 안들었어도 타인을 배려할줄 알아야지. 스포일러 남긴 사람들 부끄러운 줄 아세요
3,찬칫상 차린줄 알았더니 제삿상
1,무슨 근자감으로 예고편 열심히 투척하는게 불안불안 하더만 아니나 달러 결국엔 예고편이 전부 ㅋㅋ예고편이 정말 잼있었다
10,액션씬도 좋았고 무엇보다 한스짐머 음악이 명불허전
10,방금 보고 나옴.. 왜 까는 지 이해를 못 하겠는데?내가 봤을 땐 마블 보단 훨씬 고퀄임 -_-;DC는 이래야 제맛이지
10,나만 재밌었나...?
7,너무 많은걸 넣으려다 이도 저도 아닌 느낌. 마지막 30분의 잭 스나이더표 액션.
6,나오는 캐릭터들 전부 매력넘쳤다 하지만.. 감독의 역량이 딸려 그걸 감당하지 못한거같다.
8,스토리가 별로이긴한데 액션은 최고~!!
8,완성도는 높으나 지루한듯~ 너무 많운 내용을 담으려한듯
10,배트맨과 슈퍼맨이 함께 나온게 꿈만 같네요... 잼써요!!
10,팝콘먹으러 갔다가 영화를 본 기분이네요. 팝콘이 맛있어서 10점 줍니다.
1,정말 싫어하는 사람이 있으면 이 영화를 보라고 추천 해 주시면 됩니다.
6,디시가 마블한테 열등감이 있다고 느껴지는 영화임
10,저는 재미있게 봤습니다. 메가박스에서 봣는데 왜들 점수를 낮게주는지 모르겠네요 괜찮은 영화였습니다. 음악은 굉장히 좋았고 각 장면마다 힘을 많이 쓴 작품이라고 생각합니다.
10,재밌었다. 다만 제목을 저스티스 리그 : 배트맨 대 슈퍼맨으로 바꿔야 할 것 같다. 메인과 부제가 바뀐 느낌...
8,배트맨 V 슈퍼맨 : 원더우먼의 시작 !
8,원더우먼은 섹시했다 전체적인스토리보다 액션에 집중한것처럼 보인다 맨오브스틸 보고 보시길 렉스루터 연기가 지렸다
10,엑소팬들 ㄲㅈ삼 글로리데이 보기전에 이거부터 봐라차원이 다를걸 욕하기전에 영화나 보고와라
1,내가 1점을 주는 이유는 0점을 줄 수 없기 때문이다.
9,관람포인트는 편집장의 언어유희왕과 욕조 베드신
10,영화음악이 너무 좋았음
8,원더우먼에게ㅣ 별 4개
1,아드님 친구에요 에서 내손발은 오그라들어 제기능을 잃었다 이영화를 전역하기 전에봤다면 의가사전역이였을텐데
1,"내용전개의 당위성이 부족하고 공감하기도 힘든 그들만의 진지함에 보다 지치는 영화. 어마어마한 제작비에 비해 너무 실망...마블의 영화, 놀란감독의 다크나이트와 너무 비교된다."
1,과연.... 마틴 캠벨의 후계자 잭 스나이더
8,걱정과는 달리 그럭저럭 괜찮았습니다. 망작까지는 아닌 것 같습니다. 다만 뭔가 많이 잘려있다는 느낌이 드네요...
7,남은 저스티스리그를 위해서라도 감독교체가 시급하다
7,영상미 화려함.마블보다는 확실히 케릭터들이 어두움. 하지만 확실히..마블이...우세할듯..그런데 정말 의아했던것은 배트맨 역활이 진짜 잘어울렸던..개인적인 생각이지만..(급작스럽게 배우이름 기억이 안남..)
8,몰입은되네요.뒤괴물 빨리죽어 아쉬움
10,완전 재밌고 소름있고 긴장을 늦출 수 없었던 개 쓰레기 영화
10,일요일 아맥 예매했지만 못참고 오늘 봤음. 아맥으로 또봐도 좋을만큼 굉장함. 말들이 많아서 혹시 했는데 잭스나이더는 실망시키질 않네. 원더우먼은 신의 한 수. 누나 절 가지실래요?
7,"로튼, 메타 둘다 평점 좆망이던데... 이거 망하면 수어사이드도 타격받는거 아니냐?"
10,액션보는데 아캄나이트 하는줄
4,"밴 에플렉, 제레미 아이언스, 갤 가돗 모두 최고였습니다. 하지만 영화 자체는 재밌다고 할 수가 없네요... 앞으로 스나이더 감독이 감독할 저스티스 리그 part 1,2도 걱정이 되기 시작하네요..."
4,자막 거지같음->엄마 때문에 둘이 화해 ->어설프게 영웅들 끼어넣어서 속편만 예고->돈아까움 5연빡  진심 거지같은 영화
7,흠..확실히 개연성과 전개가 좀 어이없었고...그래도 역시 잭 스나이더다 라고 싶었던건 영상미가 굉장히 화려했다는점.. 그리고 내가 지금까지 보고 게임에서 플레이했던 배트맨은 결코 사람을 죽이지않는데 여기선 가차없다...
10,"슈퍼맨&배트맨 누굴 응원할까? 고민하다가 영화가 끝나니깐 ""원더우먼"" 펜이되었내요 ~ 시간가는줄 머르고 재미있게봄"
9,솔직히 이해인간다거나 전개가 이상하다는사람들. 원더우먼이 왜 나오냐는 사람들 영화다시보세요
4,왠만하면영화재밌게보는데ㅡㅡ  이거 왜케 지루하고 산만하지????  ㅡㅡ 무슨내용인지ㅡㅡ스케일만크고 텅텅비어있는느낌ㅜㅜ
5,3분짜리 슈퍼볼 광고를 이어붙인것 같다 DC는 잭스나이더를 당장 짜르는게 좋을듯
10,마사 이름 같다고 까는사람들... 수준이 딱 그까지 입니다. 보이는 것만 보지말고 조금만 더 깊숙히 보길 ..
5,"태어나서 첨으로 리뷰쓸려고 로긴했다.와 정말 재미없게 봤다. 영화 왜 이따구로 만들었냐?개연성은 개뿔도 없고, 기대했던 내가 한심스럽다"
5,ㅜㅜ 최악은 아니지만 그렇다고 볼만하다고 하기엔 뭔가 애매하네요
10,150분짜리 원더우먼 예고편
7,배트맨 솔로무비가 나온후 만들어졌다면 더 친절하고 구멍이 적은 영화가 되지 않았을까 싶다. 결국 이 대결의 승자는 원더우먼
9,히어로물좋아하시면 재밌게 보실거 같네요. 왠만하면 슈퍼맨 보고 보심 이해가 빠를듯싶네요. 원더우먼 기대감 급증. 신의한수.
8,Dc코믹스 만에 느낌으로 잘풀은듯 ㅎㅎ재미지게 보고옴 ㅎㅎ
5,잭 스나이더 이 OOO야
9,스토리는 무난한 장르이지만 눈으로 볼게 많네요!
10,슈퍼맨...존잘 10자
10,"이 영화의 작품성을 논하기 보다 배트맨슈퍼맨, 심지어 원더우먼 까지 한스짐머의 음악과 함께 볼수 있다는것도 영광이다 영화도 보지않고 배우이름에 의존하는 저예산 한국영화 보다가 만원으로 이런 영화를 보는것을 즐겨야지"
10,흥해라 제발 흥해라 제비ㅏㄹ 흥해라 좀
10,재밌기만 하구만...원더우먼 나올때 음악과 함께 닭살 돋음원더우먼 최고
9,금쪽같은 영화. 특히나 dc를 잘 안다면 정말 너무나도 최고의 영화. 잭스나이더의 덕력이 곳곳에 묻어나오고 필요없는 설명은 과감히 잘라버린채 dc 특유의 분위기를 너무나도 잘 살린 수작중 수작. 근데 문제는 비 마...
8,"스케일에서 역시 대단한 영화였고 오랜 기다림 끝에 본 영화여서 더욱 더 재밌게 본것 같습니다. 갑작스럽게 형성된 배트맨, 슈퍼맨, 원더우먼의 조합은 마블의 어벤져스팀과 견줄만큼 훌륭했습니다."
10,기대했던 것보다 벤 에플렉의 배트맨은 멋지다!!
10,맨 오브 스틸 재밌게 보셨으면 재밌게 보실 수 있어요
10,이게 재미가없다고?...ㅋㅋㅋㅋ 영화를봐 주위에서 누군가시작한 헛소리에 공감하고싶어하지말고 어머니이름화해장면은 첫씬부터 얼마나 배트맨에게 무거운한마디였을지 감독은 포석을깔아놨다
10,다들 재미없다하시던데 저는 재밌게 잘 봤습니다
9,뜬금없는장면이잇긴햇지만 전체적으로 재밋게봣습니다
10,평점에 사기 당할뻔했다  펑점만 보고 별기대  안하고 봤는데 어벤저스 따위는 비교도 안될정도로 재밌었다 근 몇년간 본 영화중  최고인듯
10,어벤져스 보고 광분한 사람들은  이거보지마라 어벤져스 보다 말았거나 보다 잤거나 보고나서 실소를 날린 사람들은 꼭 봐라  마블이 DC를 못따라오는 이유를 말해주는 영화다 액션도 마블과는 레벨이 다르다 철학과 세계관이...
10,"평이 왜이렇게 나쁜지 모르겠다. 각 씬별로 메시지도 확실하고 대사도 의미가 살아있으며, 영상미도 대단했다.스토리? 아무리 스토리로 까려해도 아이언맨3에서 ""히히 사실 만다린은 가짜야 그냥 배우지롱""이라..."
1,이야 알바들 일 열심히 하네ㅋㅋㅋㅋ 6점대로 시작했던 평점이 어느새 8점 가까이 올라간거 보니
10,방금보고 평한다. 액션신 만큼은 돈이 아깝지 않았다.
10,처음엔 무슨내용인지..왜 이 둘이 싸우는건지 이해가 가질않았을정도로 와따가따해서 몰랏는데 중간부터 이해를하고나니 ㅋ 꽤 잼있게봄 전투씬도 시원시원하고ㅋ
10,시간가는줄 모르지만....이건머냐? 이런 기분?
10,너무 가벼운 연출에 익숙해진 사람들때문에 폄하되는거같아 안타까움 난 오히려 이런 무거운 연출때문에 각자 히어로의 고뇌라던가 짊어지고있는 책임이란것들이 얼마나 버거울까라는게 느껴져서 히어로가 멋진것만은 아니구나란 생각...
10,"원더우먼 별 생각 없이 봤다가 완전 팬 되버렸음.슈퍼맨,배트맨 예고편에서 봐서 그런지 원더우먼이 어찌나 멋지던지 ㅎ"
10,진정 갓스나이더 성공적인 신고식! DC히어로 쭉쭉 나왔음 좋겠어욧 졸기대
8,이 영화는 확장판으로 보고 다시 평을 써야 한다.  극장판때문에 욕먹은 영화 중에 하나가 될듯하다.
10,진짜 재밌게봤어요 전혀 지루하지않았습니다...저는 어벤져스보다 DC께 훨씬재밋네요 ㅎ
10,생각했던 것 보다 괜찮았다. 원더우먼 멋있었음
8,밴형 은근 잘어울리고 원더누님 아주 매력적임. 슈퍼맨은 두말할필요도 없음. 근데 sf팬이라 8점줬는데 드라마를 기대했다면 아쉬울듯. sf좋아하면 무조건 봐야함. 쿠키없으니 바로 나오세요.
10,"어벤저스처럼 가볍고 위트있는 영화로 생각하고 보면 안되는영화입니다 그러니 재미없다고 생각하지.댓글중이 너네엄마 박순자?우리엄마 김순자,우리는친구  이런류의 댓글을 봤는데 영화를보면 다 이해가 감.까고싶어서 그러는거 ..."
10,진짜 평점보고 영화보는게 아닌 걸 알았네....절대 6점대 영화는 아니다 화해하는 장면도 마냥 이름만 같아서도 아니잖아...죽은 엄마에 대한 동정으로 화해한거잖아....그걸 마냥 이름만 같다고...화해한건줄 아는사람...
10,영화관에서 봤는데 팝콘만 들고 봤다면 진짜 10점은 더 줬을 그런 영화..액션씬은 진짜 역대급..
10,나39살여자인데..솔직히 너무~재밌게봤다. .낮은평점 이해안가는데..남편도 완전 좋았다고..아마 젊은이들이 내용을 잘몰라서  낮게준것같은뎅..아님 마블펜들이 테러하는건가?? 진짜 난 강추~어벤져스보다 난 이게더 낫던...
9,볼만합니다.  눈요기 거리도 많고 지겹지도 않고.. 돈 아깝진 않아요
10,"다른 분들 평점보고 진짜 망작인 줄 알았는데, 직접 보니 볼만합니다. 영화 값 아깝다 수준은 아니에요. 초중반 전개가 산만한데다가 지루하지만 후반 액션씬은 정말 죽여줍니다."
1,과유불급. 원더우먼 옛날 사진에 나도 모르게 콜라를 뿜었다. 잭 스나이더 감독의 역량부족이 함정.
10,대부분이 재미 없다고 해서 걱정했는데  역시 dc는 이래야 제맛이지  오프닝부터 지렸습니다
9,9점은 받을만하다 어두운 분위기를 잘 살린듯
10,봐야할지 걱정이면 평점 분포를 보자 평점테러 1점준 사람보다 10점준 사람이 3배 가까이 많다. 물론 10점짜리라서 준게 아니라 그정도로 까일만한 영화는 아니라서다. 국뽕마켓팅 1000만짜리 한국영화들 보단 100배...
10,슈퍼맨 대에박.. 넘나 멋있는 것! 진짜 꿀잼!!
9,지루한 부분은 조금 있으나 나름 재미있음
8,안보고 등록해서 죄송한데 스포일러 호감순에 올리지마세요ㅠㅠ제발
9,시원시원하니 굳~볼만함 ㅋㅋㅋ
10,이거는 감독판으로 봐야 제 맛
9,아니 니들이 뭐길래 선동질하냐 볼권리도 없냐 그냥 지 기준으로 재미없으니까 보지말라는거는 무슨개논리냐 진짜 여론 선동질좀 그만해라 3시간내내 재밌을리가 없자나 중간에 지루한부분빼면 재밌구만 ㅉㅉ
10,꽃이 지고서야 봄인줄 알았습니다.. ㅠㅠ
10,난 이 영화가 왜 이렇게 저평가되었는지 모르겠다.. 재미없다는 말만 듣고 영화관에서 안 봤는데.. 어제 보고 느꼈다 네이버 평점은 믿을 게 안되는구나.. 구성이나 액션 어느것 하나 떨어지는게 없었다..감독판 3시간 ...
7,액션 씬은 좋았지만 스토리의 개연성이 부족함
10,꿀잼일듯 배트맨슈퍼맨 토요일에보러간다
10,영화 보고 나와서 적는다개연성 스토리 등 따지는 놈들은 알바니?마블이면 새로운 히어로 봐도 티켓값 뽑는다며DC는 왜 따지니 그리고 그리 깔만한 영화 아니다.DC 팬들한텐 최고의 선물이자 전초전이였다나중에 영화 해석 ...
10,코믹스 참 진지하게본다 모르는사람들은 아얘평을하지말아주세요....완전 재밌게 봤다.. 저스티스의시작 애니부터봐라 개연성들먹이며 옆차기하는게 옆차긴줄도 모루지...
10,슈퍼맨이 나중에 죽는게 아쉽지만 밴 애플렉의 배트맨 연기는 화려하기만한 기존액션보다 상당히 디테일 했다.
10,덕후아니면 이해불가다. 덕후들은 닥치고 10점이지..ㅋㅋ
7,볼만했음..볼만했음
10,"이쯤에서 다시 생각해봐야 할 게 과연 이 영화는 망작일까? 슈퍼맨이 신의 자리를 메우는 듯하게 보이게 하는 카메라 앵글, 배트맨과 슈퍼맨이 앙숙이 되는 자연스러운 빌드업등등.... 사실, '마사' 대사..."
9,마블과는 다른느낌의 히어로팀 한영화에 여러명의 영웅의 느낌을 담에내기에는 힘들었으나 다른면에서 재미를 주었다
10,재밌음....!!!
10,확장판으로 보세요 극장판말고
10,감독판 봤는데  만점 줘도 충분하다고 생각드네요.
10,핵존잼요 낚시에속지마세요 존잼으로보고왔어요
10,평점보고 걱정했는데 워낙 DC좋아해서 혼자보고옴DC느낌 잘 살리고 생각보다 괜찮았던 영화 마블느낌 기대하고 봤다가 실망한 사람들이 많은것 같은데 DC느낌을 안다면 충분히 재밌을듯 다만 배트맨 영화를 먼저 하나 개봉하...
10,대가리에 똥만 쳐 들어 있는 놈들은 이리 나빴다&저리 나빴다 하면서 악평하기 바쁘나 아이맥스로 본 나는 첫 장면부터 액션이 너무 대단해서 와~하고 입이 떡 벌어져서 끝날때까지 액션씬만은 입을 다물지 못하고 봤다.나중...
10,"검색해보고 나서야 자막과 관련된 비판이 있다는 걸 알 수 있었다. 현재 버전이 자막이 바뀐 버전인지는 모르겠으나, 아무 문제없이  잘 봤다. 재미있었다. 영웅 영화답게 개연성은 떨어지지만 음악과 액션이 볼만했고 마블..."
10,역시 액션은 잭 스나이더가 짱임
10,단순히 엄마이름이 같아서 화해한게 아니야... 본인의 무지를 티내지마라... 이름이 같아서 잠깐 놀라긴 했지만 배트맨은 '인간의 죽음' 에 대한 슈퍼맨의 사상에 동조된 것임. 배트맨은 '인간의 ...
9,내기억에 처음 평점 쓰는거 같은데 왜 이영화가 7점대인지 모르겠음. 개인적으로 어벤져스보다 재밌게 봄
10,원래 DC팬이라면 이해하는데 큰 어려움이 없었겠지만 그저 다크나이트(시리즈)로 유입된 배트맨or놀란팬들과 그냥 재밌어보여서 이 영화를 보신 분 들에겐 설명이 많이 부족했던 영화... 8점정도가 적당한듯 .. 점수맞추...
1,응 타임지가 선정한 올해 최악의 영화 6위  ㅋㅋㅋㅋ
10,기대했던거보다 훨씬 좋았습니다. 때려부수기만 하는 영화였음 기대하지도 않았을거예요. 연출 스케일 스토리 연기 캐릭터 캐스팅 뭐하나 빠질게 없어요. 두번보세요 ㅠ
10,재밌음 솔찝이이거재미없단건 말이안됨
10,맨오브스틸 꼭 보고 이영화를 보시길.. 액션 정말 끝내줌 정말이 DC코믹스 후속 영화들이 기대됩니다.
10,처음에후기보고다들별로라해서 설마하고봤는데모야  완젼재밌잖아 진짜재밌고 소름돋는영화울면서나갔음  스토리내용 이해못했던사람들은 영화를 집중해서못봤던게아닐까 내가본영화중에서 제일재밌었어
9,재밌어요 기대하신 만큼
9,"저스티스 리그 이후 재평가됨.. 누구도 깔 수 없는 DC만의 장점인 파워풀하고 전율적인 액션, OST를 잘 살림. 개연성이나 스토리는 당연 부족하나 DC의 팬은 납득할 수 있을 정도의 최소한의 개연성은 지님"
10,"자막은 불만이지만,, 아무튼 전체적으로는 내 스타일 영화 ㅎㅎ"
5,아직도 잊혀지지가 않는다 그날 같이 봤을 때의 여친님의 눈빛을...나만 재밌었다
7,평점보고 기대 안했는데 생각보다 재밌었다. 많이 무겁고 지나치게 웅장하지만 두 사람의 대결이 흥미진진하다. 갈등이 해소되는 부분이 허무하나 원더우먼의 등장만으로 아쉬움을 달랠 수 있다. 무엇보다 여러 DC 히어로들을...
10,"그냥 최고라고 볼수밖에 없는 영화. 배트맨과 수퍼맨의 조우장면은 소름이 끼칠정도, 제목과 같이 플래쉬맨 아쿠아맨 사이보그 등등 담에오등장할 히어로들을 자연스럽게 등장시킴, 헐크버스터를 능가하는 초울트라간지의 엘이디눈..."
10,"아.... 슈퍼맨의 희생으로 시작되는 배트맨의 각성, 사람은 아직 선하다. 명작인데... 사람들이 너무 각박했다."
9,"확장판을 본다면 가치는 좀 더 올라간다. '마사'에 관해 이해를 못한다면 이해할때까지 돌려 봐라. 슈퍼맨,배트맨 모두 내면에 어머니란 존재는 그 무엇보다 강하다. DC의 어둡고 무거운 분위기에 완전히 ..."
10,한국인은 눈만 높아졌다.. 충분히 재미있는 영화다.  적어도 어릴적엔 둘이 같이 등장하는 영화가 나올것이라는것은 상상도 못했다... 그래서 개인적으로 난 좋았다.
10,"꼭 액션씬이있어야  재미있나??  ""퍼스트 어벤져"" 보다 이게 훨 잼있다"
10,평점 왤케 낮은거지??? 난 재미있게 봤다.. 평이 안 좋아서 안 볼려다가 봤는데 개꿈잼..
10,개 재밌구만 뭔 개연성 타령이여 취향저격임 역시 마블보단 DC가 내 취향에 맞는듯...
10,이보다 더 잘 만들순 없다. 개연성 없다 생각하는 새끼들 캐릭터에 대한 이해나 좀 더 하고 와라
10,솔직히 잘 만든 영화지 ㅋㅋ 유치? 유치따질거면 코믹스 원작을 아예 보질 말아야지  뭔 ㅋㅋ 스토리 이해못한 사람들은 자기 지능을 탓하길.. 원작 모르고 봐도 이해만 잘 되더만.. 그리고 렉스루터의 대사 하나하나가 ...
10,팬들만을 위한 저스티스 리그 예고편
10,화끈하네. 디씨 칼갈았어...
10,평점 개판인데 진짜 재밌게봄
10,"재밌다. 여론몰이의 희생양이 된듯하여 안타깝다.어벤져스 에이지오브울트론보다 백배 낫다. 슈퍼맨 존잘. 한스짐머x정키엑셀 음악 굿. 캐릭터 싱크로율 굿. 혹평속에 예매취소하지말고 직접보고 평가하길.""아드님친구&..."
10,평점보고 영화보지마세요 재밌습니다
10,"항상 DC 코믹스 시리즈는 마블과 다르게 느껴지는 무게감 때문에 별로 좋아하지 않았었는데, 이번 영화를 통해서 DC코믹스에 빠져들듯 하네요. 마블과는 다른 DC만의 재미가 가득했던것 같습니다. 중간중간 나오는 떡밥들..."
10,이 영화가 폄하되는 이유를 알수가 없다.. 도대체  영화라는 바구니에 얼마나 많은 잡스러운 기준들을 다 담아야 하는가... 상상의 발현이라는 점에서 10점이 주어져야 마땅하다
8,스토리 전개가 다소 아쉽지만 dc팬으로서는 만족합니다  ost도 좋고
10,이영화가 재미 없다고 하는 사람들은 그저 마블의 미국식개그와  우치하면서 초딩들이나 보는 단순한 액션씬을 기대한사람들일것이다 이영화는 지극시 사실적이고 영웅의 대한 고뇌와 그리고 스팩터클한 액션과 스토리 다 만족스럽...
7,마지막 20분정도 싸우는씬빼면 너뮤진부함
8,3시간짜리 감독판으로 보니까 8점은 되는 영화 같다.  과도하게 욕을 먹는 느낌.
10,엄청나게 재미있네ㄷㄷㄷㄷ
10,"(브루스 웨인): ""난 부모님한테 다른 걸 배웠다"" ""아무 이유도 없이, 길에서 죽는 것!"" ""세상은 본래, 악한 것이라는 걸 배웠지."" / (칼엘 / 클라크 켄트): &#..."
9,재미있던데.... 무엇보다 알프레드 간지가...
8,확장판은 일반판에서 보여주지 못한 개연성과 각 인물의 입장을 잘 표현했고 렉스루터의 흑막을 잘 표현했다.  악마는 하늘에서 내려온다고 했는데... 슈퍼맨이 죽어 땅으로  돌아갔고  여기는 내 세상이라고 수호신을  맞...
10,DC매니아들에겐 엄청난 대작인데..아무래도 대중성은 못잡은거 같네요. 액션은 명불허전 잭스나이더 저는 매우 재미있게봤습니다!
10,"져스티스리그를 알라는 서막이라고 할까...아주 재밌게 봤습니다.  초호화 배역에 초호화 스토리 액션 , sf"
10,조아요  잘봤습니다 남자친구가 잼있었대요!~
10,히어로 영화를 좋아해서 재밌게봣습니다
10,사람들이너무까대서 진짜기대안하고봤는데나만재밌었던건가...
10,"무난하게 잘 봤다. 화해 하는 그 이유를 단편적으로 보면 억지스러운 점이 없잖아 있지만, 무난하게 풀었다고 생각한다.또 말하고 싶은 것은 화해라기보다는 공감으로 보였다.공감했기에 도와주고 싶어했던 배트맨 아닌가 생각..."
10,느낀점1엄마드립과 자막말고는 좋았다2역시 한국에는 마블빠돌이가 많긴한가보다3초딩들아 히어로 영화에서 개그를 왜 찾니4저스티스리그에 대한 떡밥도 많고해서 평점 8점 이상은 나와야할듯5베일의 배트맨 생각이 안 났으니 성...
10,아.. 악플좀 안달렷으면 좋겟다 난재밌게 봤는데
10,10점이 아깝지않은점수 지루하지 않아요!
9,그래도 팬으로서는 그리 나쁘지는 않았다. 저스티스리그로 가기 위한 포석으로 삼기에는 충분. 희한하게 한 번 더 보고 싶게 만들어서 8점에서 1점 더 9점. 다만 맨 오브 스틸을 보지 않았다면 무조건 보지 말길.
10,갠 적으론 어벤져스 보다 잼있었음. 유치한  코믹이 안들어간 것이 오히려 장점.. 짧지만 강렬했던 원더우먼의 등장도 완전 사이다. 호불호는 어차피 익숙함의 정도 차이가 아닐까 생각해 봅니다.
8,한 8점은 줄만한데 ? 진심 돈아깝진않다
10,그렇게 욕을했는데 나중에다시 보니까 저리에 비하면 느금마사만 빼면 걸작수준이더라. 배트맨의 아이덴티티를 잘 살렸고 액션도 매우 훌륭하다.
8,저질 천만영화는 잘도 쳐보는것들이 이런건 까고있다
10,명작. 확장판을 봐야한다
10,뭐야..재밌게 잘만들었구먼..
10,강제로 30분 편집시킨 워너 경영진 때리고 싶다. 괜찮은 정치 스릴러를 30분 들어내서 폐기물로 만들어버림. 무슨 뼈를 취하고 살을 버리는 것도 아니고 뭐하는 짓? 애꿋은 잭스나이더만 총알받이됨ㅋㅋ 확장판만 보세요....
10,감독판은 극장판이랑 진짜 다르네.
10,감독판은 평점 7.5~8.0 정도 되는듯 합니다.
10,3시간짜리 영화인데 지루하지 않고 재미있게 잘봤음..
