score,text
1,... 노답 ㅠㅠㅠㅠ 돈 아까워..
2,애니메이션 !  스토리개연성 넘 떨어짐
1,와 진짜 미침 모든 면에서 수준이하라 디즈니라고 믿기지 않을 정도 단점 밖에 없어서 오히려 단점이 없는 영화
1,개똥같은 영화   진짜 재미가 1도 없네   1점도 아깝다
1,탄압과 차별에 대해 다룬 영화를 위구르 살해현장에서 찍은 것도 어이없고 홍콩 민주화 운동에 중국에 지배당하라고 발언한 애가 뮬란역? ㅋㅋㅋ 아이러니하네
2,개봉 전부터 말 많더니 결과물 보니 정말 최악이었습니다... 원작 애니에 있었던 주요 캐릭터를 그렇게 다 빼버리고 왠 무엽액션영활 만들어놓고는... 쓸데없는 설정만 잔뜩 집어넣고... 이거볼바엔 차라리 원작애니를 한...
1,free hong kong 이라 적은 평점에 비추 테러하는 놈들은 다 짱깨가 누른걸로 봐도 무방하지? ㅋㅋ
1,굳이 보이콧을 안해도ㅋㅋㅋ 알아서 조용히 사라질듯ㅎㅎㅎ 먼저 디즈니+에서 개봉한 이유가 있었네ㅎㅎㅎ
1,감상포인트 어떤거도 죽기싫은데 골라야하니 참.ㅋ 난 영화 좋아해서 아무리 재미가 없고 감동이 없어도 5점 이상은 준다 . 내가 1점 준거는 악당역할 배우가 그나마 애니랑 비주얼이 비슷해 1점준다 . 일단 주인공 보필...
2,도데체 볼거리와 영상미는 어디서찾아야되는가...제작비는 어디에쓰였는지..무협영화로 탈바꿈해버려서 원작의 깊이를 전혀한발짝도 따라가지못한 최악의 실사영화임.이연걸 견자단을 병풍으로만들고 눈사태나 전쟁장면또한 과거 엠비...
1,이런 쓰레기를 돈주고 영화관가서 보는 사람이 있다니 쯧...
1,원작이 웁니다ㅠㅠ
3,보는내내 울다나왔다.스토리도 엉성하고 디즈니라도 너무했다이건
1,진짜 너무 별로 였다 중국...
1,이딴걸 영화라고 만들고 있냐?!관람 시간을 보상받고싶단 생각이 들정도로개노잼'디 워'도 이것보단 재밌었다
2,우선저는 정말로 맹세하고 관람을 한후 평점을 남기는것 이니 오해는 하지 말아주세요.우선 처음 예고편이 나왔을때 사람들이 우려한 그대로 영화가 나왔다고 생각합니다. 작년에 라이온킹이 나왔을때 사람들로 부터 많은 호불호...
1,"이상한 이유: 명품 ost 전부 버림, 감초 조연 다 버림, 억지스런 페미주의 전개, 저질 수준 낮은 액션씬;;  진짜 실망"
1,"중국 공산당편에 서서 홍콩경찰을 응원한 뮬란역의 유역비, 신장 공안국에 감사를 표한 노답 디즈니 SHAME ON YOU!! boycottmulan#nochina#freehongkong#freeuighur#freeti..."
2,이게 진짜 디즈니에서 만든게 맞음?..이름만 뮬란인거 아님?
2,디즈니를 욕보이다니...
3,배우논란 이런거 다 배제하고 영화만 평가했음.평소 중드+무협물 보는거 좋아하는데 뮬란은 ㄹㅇ 10년 전 중국무협영화 보는 기분이었음...메이크업 의상도 촌스럽고(오리엔탈리즘 끝판왕) 내용도 이게 뭔지 모르겠고...액...
4,"참나.. 내가 제일 좋아하는 디즈니 프린세스 (뮬란도 포함임) 망쳤네,,ㅎ"
1,원작이나 봐야지...
2,"디즈니 애니메이션 중 뮬란을 가장 좋아하고, 어린시절 뮬란을 수십 번 보며 성장한 제 기준에서는 엄청난 졸작입니다. 수호신 무슈와 귀뚜라미 등 매력적인 서브 캐릭터의 부재에, 디즈니 영화 매력의 정점인 ost도 모두..."
6,마녀는 굳이 넣을 캐릭터가 아닌데 넣었고후반부에 갑자기 착해지는 것도 스토리 개연성에 안 맞습니다.
1,"....이거 평가하기가 너무 어렵다. 무엇을 표현하고 싶은가? 무엇을 말하고 싶은가? 무엇을 보여주고 싶은가? 어른들의 향수를 위한 영화라고 생각했지만, 어린이들이 볼만한 영화다."
2,재미가 너무 없어서 별점 하나도 아까워요
1,
1,영화 앞부분 어린시절 집안구석 뛰쳐다니면서  어린 뮬란시절 연출력 보면서.. 와 진짜 영화 어설프다했는데 끝까지  엉성했다. 같이 영화본언니랑 싸울뻔했다고
5,왜 각색을 이렇게 했을까요?  의문입니다 걍! 애니를 한번 더 보느게 정신건강에 좋은듯합니다
2,넘 재미없었어요.만화를 넘  재미있게 봐서 기대를 많이 했거든요..내용의 개연성도 떨어지고..디즈니 특유의 뻔한 감동(그래도 그것이 좋았거든요)도 없고 ..아무튼 디즈니 답지 않았어요.
3,스토리가 너무 어설퍼요.내용에 전개와 짜임이 너무 기대이하네요.
5,애니메이션의 감동이 너무 컸던 탓일까... 딱 그저 볼만한 정도였음... 뭐든지 다 애매한 영화...
6,원작을 좋아했던 분들이라몀 실망할 요소들이 많네요 ㅜㅜ 디즈니 넘나 좋아해서 봤는데 색감이라던가 유역비의 액션 외에는 좋았던 점은 없는듯해요
3,중국 눈치 실컷 보더니만 결과물이 이거냐?? Reflection이 영화 끝나고 나와... 짜장면을 짜장하고 면 따로 먹는 느낌..
6,주제의식을 돋보이게 하려 군더더기라 생각하는 것들을 제거했다. 그랬더니 '뮬란'이라 부를 수 없는 중뽕영상이 탄생했다.
2,역대급 진토백이 오리지날  중국산영화  중국영화는  관시문화땜시  발전이 없음  이거만든  감독  수입료나  많이  챙기고  도망가라..  대만은  영화는  이러지  않는데  중국은..
1,이런.... 뮬란을..
4,예고편을  보는것으로  팬심 달래심이..
5,Disney 특유의 musical적 요소가 없음. 만화영화보다 dinamic하지 않음.
2,전문가가 아니라서 뭐가 잘못되었는지는 모르겠는데 뭔가 많이 잘못된 영화.. 재미도 없고 뭔가 엉성하고 내가 막 부끄럽고...
1,free hong kong
1,0점 주기는 없냐? 억지로 1점 주게 만드네.
2,시대를 역행하는 지루한 무협영화
6,중학생딸과봤는데..성평등..대사등너무 올드한 것같아요
1,쁘리횽콩~~!!! 띠벳쁘리~~~~! 따이아 남바완!!!!~~~~
1,뮬린캐릭터설정이 맘에 안듬
1,진짜이렇게 재미드럽게없는영화첨봄내 인생 내목숨걸고 하는말임무슈가없는 뮬란은 걍 잡영화
1,유역비(뮬란) : 난 중국공산당을 지지한다.
6,그냥저냥 봤습니다오문희가 더 재미있을듯요
4,
1,뮬란 불매운동!! 뮬란 보이콧!! Free Hongkong!!!
1,중국놈들  지구에서 사라져라
2,재미리얼 없습니다...
4,
1,그냥 공산당이 싫어서 안봐요가지않겠습니다 사지않겠습니다 보지않겠습니다 NO CHINA
2,재미없으면 공감 재미있으면 비공감
8,걍 !  마녀가 참 얼척 없게 죽네.  디즈니도 참 중국 돈으로 만드니 !  망작으로 만드는군!
2,무료로 OCN에서 보세요.
1,알라딘은 원작처럼 선을 지켰고 라이온킹은 무표정 같지만 티몬과품바가 있어서 좋았지만 뮬란은 무슈 개그삼인방 샹장군 귀뚜라미 뮤지컬도 없고 그냥 삼류무술영화로 만들었다.
6,만화영화가 훨씬 재밌긴 합니다. 기대에 못 미쳤네요. 전체적으로 아쉬웠어요. 특히 스토리가~~
2,디즈니도 이제 전성기 시절때 그 특유의 순수하면서도 완벽한 느낌은 찾기 힘들다고 보는게 맞을듯ㅋㅋ pc에 맛들리고 윗쪽에서 강제식으로 압박 넣으면서 제작할때부터 한물갔다고 봄..
2,"굳이 보이콧 할 필요가 없을 정도로.. 재미가 없음. 원작에서 몇가지 구성과 전개가 차용했을 뿐, 주인공 이름이 뮬란이라는 점만 같을 뿐.. 아예 다른 영화. 지루함. 긴장감 없음. 약간의 페미성도 있음"
6,이영화는 장점보단 단점이 돋보이는 디즈니의 몇안되는 영화입니다. 일단 디즈니하면 기승전결이 완벽한 스토리라인과 귀를 홀리는 ost라인 연출 영상미가 압권인데 전에 나름 흥행한 알라딘실사와 비교해봐도  딱히 관람내내 ...
3,애니를 실사로 만든거중에 최악순위안에들듯.
1,애니메이션 똑같이 만들지 감독이 지맘대로 만들어서 올해 최고의 망작을 만들었네. 보는 동안 이렇게 지겹게 만들수 있는 능력에 다시 한번 놀람 돈은 어디 셨는지 . 전투장면의 사람들도 너무 없고 동네 양아치 싸움으로 ...
1,평점 왜케 높냐 돈으로 알바풀었나 되두않는 그래픽 긴꼬리빨강새날아다니고 스토리 연결도 매끄럽지 않더라 그렇다고 이쁘고 잘생긴 애들이 나오는것두 아니고 유이페이도 안꾸미니까 못생김
1,영화외 이슈를 배제하더라도 개ㅆ핵망작이다. 영어대사는 80-90년대 더빙 같고. 연기는 개판에. 연출은 무엇?? 100프로 중국영화 느낌이고 무협전성기때 영화보다도 질이 훨씬 떨어진다. 개연성은 개나 줬으며 수많은 ...
1,홍콩을 억압하는 중국의 경찰을 지지하는 여배우가시대의 억압에 맞서는 뮬란을 연기하다니완전 모순.
1,착짱죽짱. 우한폐렴 out! 공산당이 싫어요
1,총체적 난국
1,개 씹 노잼
1,중국 무협 영화 같아서 많이 놀람
1,"반도, 살아있다... 에 뮬란 추가.."
1,여러분 이 영화 보지 마세요 디즈니 로고만 붙인 중국 무협영화에요 오히려 잘만든 무협영화가 나을지경 뮬란 오에스티 다 생략됐고 걍 원작 뮬란 다시 보세요 별점은 빵점하고 싶은데 안 그럼 리뷰가 안 올라가서 1점 매겨...
4,"스토리의 빈약함과 생각보다  작은 스케일, 유역비 연기와 신체적 한계(적어도 남자와 키라도 비슷해야..).. 우리 배우 수연이 했다면 훨씬 나았을텐데..^^  정치적 배경의 보이콧이 아니더라도 권하고 싶지않은 영화네..."
5,아니 애니 그대로했으면 재밋엇을텐데 각복스토리 왤케 븅ㅅ처럼 해놨냐? 진짜 폭죽대신 투석기 사용하는건 에바였어 ㅡㅡ
2,장예모 감독의 영웅을 한번더 보는게 나을듯..
1,No1 Taiwan!! PRAY FREE FOR HONG KONG!!!
1,"중국공산당 미화영화를 보다니.. 사람 맞나요?  1950년 그 추운 겨울대한민국을 침공하여 수백반의 사상자와 이산가족, 민족분단의 아픔을 만들게한중국..  지금껏 한번도 사과를 하지 않았습니다.수천년동안 한국을 괴롭..."
1,이걸 본다고???
3,애니가 훨나음 뮤지컬 아님 액션 은 평타
1,평식이 형이 4점 줬다. 거르자.
2,이 외중에 이걸 보러 가는 인간들이 있다니 ㄷㄷ
2,이게 재밋다고??돈 아깝다 진짜 오랜만에 남긴다 후회한다 보지마라 액션은 티비광고 에서 나온게 액션 전부다 유역비는 멜로나 찍지 무슨 액션을 찍는다고 별한개면딱족하다
2,디즈니 손절해야한다.
1,모든 면에서 애니보다 한참을 뒤떨어진다. 이렇게 성의없게 만들기도 힘들었을 듯. 도대체 2억 달러가 넘는 제작비는 어디로 사라진 것인가
1,원작 애니를 이렇게 망치는것도 능력인듯
2,이럴거면 걍 중국감독에게 맡겨 장예모 첸카이거 써 공리 나오자나 그럼 뭐라도 나왔것지...견자단 이연걸 나온대서 봤드만 왜 캐스팅 했다냐....
1,디즈니 중국화와 페미때문에 이젠 극장에선 안보려고 한다
2,무협영화라기엔 스토리가 약하고 (그나마 다 아는 내용) 동화라기엔 알라딘 처럼 동심이 깨어나며 아련해지는 느낌도 없고. 이슈를 떠나서라도 디즈니가 중국 돈벌려고 현지인들 눈치보다 본연의 색을 일어버린 망작느낌. 그렇...
1,노잼 노잼 너잼 노잼 노잼
4,"탄산 없는 콜라 느낌, 원작 뮬란의 장점 중 하나인 보컬 노래가 없는데 어케 실사화인지... 실사화 최고봉은 알라딘이다."
1,그냥 양산형 중국영화 인줄
4,원작에니보다 한~~~~참  모자라다
1,지금까지 중 최악의 실사영화... 솔직히 불사조 새새끼는 왜 나오는지 모르겠고 악역들은 찌질하고 더럽게 말 많음... 거기다 갑자기 내래이션은 왜 나옴... 뮬란 자체도... 하아. 결론: 개연성 폭망. 진짜 총체적...
1,구역질 나는 영화. 볼 가치가 있나?
1,킬링 타임용으로도 부족
6,스토리가 넘 없었어요ㅜㅜ 같이간 초등생 여자아이들의은 뮬란이 멋지다했는데요 어른들이 보기에는 스토리 없고 디즈니인데 음악도 그닥이란점ㅜㅜ배경이 멋졌는데 전쟁신이 애들 장난하듯함 이게 제일 아쉬웠어요 더 황당한것은 문...
1,중국 빠는 유역비 영화는 거른다
4,ㅋㅋㄹㅇ 이거 초중반에 볼만한데 갈수록 다없다
1,중국자본 들어간 영화는 보지맙시다
3,디스 이즈 차이나 무비중국 코로나
1,"뭐 중국, 홍콩 경찰 옹호고 뭐고 그냥 영화 자체를 못만들었는데.;"
1,홍콩 탄압 찬양하는 반자유주의 공산주의 영화
4,디즈니 영화의 매력은 눈을 뗄 수 없게 만드는 쫀득한 모션과 편집이었는데 역대 디즈니 영화 중 이렇게 스로우 모션으로 범벅이 된 게 있었던가? 그리고 가장 중요하다고 보여지는 뮬란의 결심후 변신장면은 왜 그냥 스킵하...
1,조작충들 잘들 지껄이네
1,개_같_은 영화 짱_개_들의 쓰_레_기 영화 .. 이영화는 보는 인간들은 매국노 짱_개
4,너무나도 스토리 구성이 빈약한 영화 영상미는 봐줄만 해도 스토리 부분은 너무 반감 되어 재미가 떨어짐
1,중화사상이 쩌든 배우들이 만든 영화라....
1,"디즈니의 흑역사, 이곳에 박제되다"
1,연계성 없는 스토리와 영화보면서 졸리긴 처음인것 같음. 제작비가 다 어디에 사용되었는지???핵 노잼. 평점 1점도 아까움.
4,어휴.. 이걸 어디서부터 얘기해야 할지.. 할많하않...
1,정말 1점도 주기 싫은 영화임너무 인위적이고 너무 어색하고 돈 낭비 영화....
1,"주연 배우는 홍콩경찰 지지, 엔딩 크래딧에는 위구르족 탄압단체에 감사 표시, 고증은 말아 먹었고 3박자를 고루 갖춘영화"
1,뮬란 애니를 보세요. 차라리 그게 낫습니다. 애니메이션 뮬란2 보다 재미없습니다. 영혼이 없는 영화... 공리는 왜 출연했는지 의문...
1,하... 정말 기대했어는데 이건뭐 중국3류 무협영화보다 못한거같은 느낌은 저만 느끼는건가요...
4,....?댓글이 알바인 거야 아님 나만 별로인 거야. ?
2,마녀요....왜 마지막에 갑자기 착해짐? 난 극장서 개봉전에 이미 봤음 자랑은 아님 근데 이미본게 자랑은 아니지만 다행인듯함..
2,보다가 잤다 영어듣기 잘들리더라
6,원작 생각 안하고보면 걍 볼만한 중국영화...
4,현재까지 나온 디즈니 실사화 영화중에 가장 노잼입니다. 디즈니 찐 팬으로써 한번더 실망하고 갑니다.
1,짱깨짱깨짱깨짱깨짱깨
2,논란을 떠나서 영화 자체가 재미가 없더라! 말같지도 않은 영화
1,뮬란 보이콧. 보이콧! 중국 물 먹은 더러운 영화. 과연 재밌을지 좀 찾아보고 영화보세요.
1,아직도 디즈니충 ㅈㄴ많네 ㅉ
6,그냥 그랬어요 노잼까진 아니지만...연기도 어색하고.. 액션씐도 어색하고..휴
1,디즈니의 pc가 위선인 증거
2,애니랑 비교하게엔 좀 많이 부족 아예 중국어를 섰으면 좀 더 좋았을라나 영어와 뭔가 잘 안어울리고 영상미도 마녀도 좀 스토리상 안맞고 전체적인게 부족 알라딘보다도 못하다...감상포인트 해줄만한게 없음 중국을 너무 의...
2,에휴...디즈니영화라 애들이 좋아할꺼라 생각하고 자동차극장갔는데 무협영화였네요ㅜ애들  지루해하고 스토리도 무슨 중국찬양영화같았어요...비추해요.
1,Hongkong free!!!!
4,견자단 액션 30초 빼고는 감흥도 없고... 감동도 없고....유역비 애기는 한방에 날라갈거 같이 갸날프네..ㅋㅋ
1,일본의 만화 실사화에 돈을 들이면 이런게 나오지 않을까... 친중 거르고 봐도 이건 좀 심하다
1,인권탄압의 메카인 신장자치구에서 촬영중국공안 옹호 퉤퉤퉤 드러워서 안봐요
6,
1,돈으로 빚은 중국똥덩어리...애니만 보세요
5,반도나...뮬란이나....유역비가 이뻐서 5점 이내요...나머진...그냥...여자들이 알아서 하겠저...영화보면서 여자들이 지금도 어렵고 힘들게나사...싶더군요...이렇게까지 눈치보며 흥행못하는영화 만드는이유는 뭔지...
6,엑션 영화 입니다.ㅋㅋㅋ
1,FREE HONGKONG
1,앞으로 짱깨새끼들은 영화 못만들게 해야 한다. 공해다 공해.
2,혹시나...역시나...
4,그냥 원작 애니메이션 뮬란을 한 번 더 보자
1,하...돌려줘 내시간
1,우웩카욱커욱에욱우익
1,이건뭔지ㅎㅎ아닌가.
1,몰랐는데 야오 말고 링 치엔포도 나왔던데 누가 누군지 모를정도로 새로 나온 동료 때문에 답답할 정도
2,기대 많이했는데 ㅠㅠ
4,개미  크라운제이가 나와서 놀랐다  그리고 뮬란 혼자 무쌍찍고 혼자다함 ㅋ
1,이걸 영화관에서 볼 사람 상영관에서 잠자는걸 추천함
1,친중 좌파분들 이 영화 님들이 싫어하는 미국에서 만든 영화니까 평점 1점 주시면 되요
1,음 보이콧 하실 분들 계속 하셔도 될것 같아요~!
4,이런 저런 논란 떠나서 너무 재미가 없어요..명색이 무협물인데 액션이 c급 입니다..스케일도 그많은 돈은 어디다 쓴건지 뒤에 한번 나오는 대규모 전투씬은 규모가 너무 작아요 ..뮤지컬 형식을 떼니 그냥 이도 저도 아...
3,메이드 인 차이나 품질 같은 영화. 원작과는 달리 왜? 라는 물음이 계속 나옴 ;;
1,사스가 차이니즈 머니 영화
2,고급 레스토랑에서 컵라면 나온 느낌...이렇게 만들고도 돈벌려고 하다니ㅜㅜ
1,마지막에 주작이 날아오를때는 내 빡침도 하늘로 올라갔음
1,중국인 댓글부대 심각하네...
1,클레멘타인도 이것보단 낫다 반박시 마오쩌뚱
2,차라리 ㅇㅐ님ㅔ이션이였으면 좋았을즛
1,ㅅ ㅣ  ㅈ ㅣ ㄴ  ㅍ ㅣ ㅇ  ㄱ ㅐ ㅅ ㅐ ㄲ ㅣ
1,뮬란 불매!! 보이콧!! 우리나리 사람들은 뮬란 많이 안보러 갈줄 알았는데. 이렇게 많이 보러 갔다니 놀랐다. 뮬란 안본사람으로 글 남긴다.
3,이미 외국에서 평이 망할대로 망한 걸 알고 봄.. 재미없는 건 둘째치고 아무리 봐도 이 시기에 뮬란 실사화를 한다는 건 중국자본과 PC자본에 묻어가려 한 거 같은데 아이러니하게도 중국인들과 PC지지자도 싫어할 거 같...
1,아름다운 홍콩을 구원하라 !!!!
1,이정도면 뮬란을 안보고 만든 영화입니다
1,최악최악최악최악최악최악최악최악최악
1,보지마세요 돈아까움.
1,역사 의식 다 무시한 채 디즈니라는 네임표달고 만들어재끼면 그게 영화냐?
1,짱개 무협영화에 디즈니 마크만...주옥같은 뮬란 OST는 어디다 다 팔아먹고...아이유를 뮬란으로 해서 다시 찍어라...
1,#BoycottMulan
6,.그래도 뭐 디즈니니까 재밌겟지..재미있어지겟지..했는데 마지막까지 액션마저 잔잔하니ㅎ 그래도 코로나덕에? 영화관 사람 아무도 없어서 엄마랑 조용히 잘봤어요.
2,"눈사태 씬은 어디 갔으며 유역비의 발연기 이연걸, 견자단,공리는 왜나온거냐?? 차라리 작은소망이 더 낫네 Taiwan No.1 !"
1,
1,엄청 기대했는데 이걸 보는 순간 오래된 원작 애니가 대단한 명작이라 느낄거다. 중국자본 들어가다 말았는지 완성도가 폭망수준..
1,Free Hongkong
1,중국 공산당의 신장 위구르 인권탄압에 침묵한 디즈니는 각성하라
1,중국물 먹으면 디즈니도 어쩔수없이 맛이 가버리는구나..
6,방금 조조로 봤는데.. 음.. 예상대로의 영화였음. 기대안해서인지 화는 안나네^^; 내가 이연걸을 못알아봤다는게 더 충격 ㅋㅋ
2,쓰레기입니다. 진지하게 이걸 볼거면 차라리 테넷을 보십시요.잘 만든 원작에 중국과 PC가 묻은 쓰레기입니다.여기서 유일하게 잘나온거? OST말고는 없을겁니다.그 OST마저 뮤지컬 사운드 트랙이 아니라 ㅄ BGM으로 ...
6,꾸역꾸역보는 개돼지들 많구나 정말 대단해
1,본격 중국 따까리되서 꿀좀 빨아보려다가 중국에서 오지게 까이고 한국에서도 개까이는데 쓰래기 매수된 조작전문 네이버에서는 8점이상 평점치는 쓰래기 영화
1,와 진짜 어떻게 평점 8점대냐??? ㅋㅋ
1,
1,"참나 이걸 영화라고,,,오랜만에 잠 잘잤네~"
1,굳이 불매운동 하고 말고 할 필요도 없음. 정치적인 문제를 떠나서 그냥 재미가 없음ㅋㅋ
1,뽀로로 극장판이 더 재미있는듯
1,"인생 최악의 영화, 계란없는 계란빵, 팥없는 팥빵, 크림없는 크림빵, 해물없는 해물탕 같은 느낌 스토리도 연속성이 전혀없음. 로또 당첨되셔서 돈 낭비 하시고 싶은 분들은 한번 보시는 걸 추천합니다."
1,"소수민족은 탄압하고, 파룬궁은 장기를 적출하면서도 더러운 돈을 쏟아부어 뻔뻔하게 이딴 영화를 만들려는 짱께를 보면 한국의 미래가 암울하다..."
1,어이없는 영화 주인공 발연기에 스토리는 삼류고 재미라고는 1도 없음 .
1,돈 앞에 디즈니도 어쩔수 없구나
1,네이버 못믿겠넼ㅋㅋ 카카오영화평점은 2.1인데 장난하냐 ㅋ
1,Free Hong Kong
1,그냥 영어가 나오는 중국영화
2,유역비 배우의 표정없는 고도의 내면 연기가 일품인 영화
6,그냥 애니의 반에반에반의 감동과 극적 긴장감도 없는듯
2,"홍콩민주화 만세, 위구르 독립 만만세"
1,홍콩의 민주화를 응원합니다
1,이게 영화냐..원작 박살내버렸다..평점 내리자
1,우한폐렴 와중에 허접한걸 .
1,왜 사람들은 보지도 않고 덮어놓고 작품을 까는 걸까요? 이 작품은 연출이면 연출 특수효과면 특수효과 스토리면 스토리 미술이면 미술 의상이면 의상 그 어느하나 흠잡을때 많은 실로 어마무시한 작품이오. 난 안보고도 알지...
1,프리 홍콩 프리 위구르 프리 티베트
1,올해 본 최악의 영화!!!
1,기대하고 봤다가 너무 실망..뮬란 애니메이션이 나았다..
1,말하는 용없는 뮬란은 앙꼬없는 찐빵
1,쓰레기 같은 중국 자본 영화. 원작 디즈니 애니가 아깝다.
1,헐리우드가 중국검은돈 받아 중뽕질한 영화. 근데 뮬란은 정작 한족이 아니다. 국제깡패 우한폐렴원흉 차이나 세계가 보이콧중인데 지금 상황에서 이게 보고싶나? 앞으로 중국소재 영화는 전부 쫄딱 망해야 정신차린다. 천멸중...
1,중국 찬양 영화 보이콧합니다.
1,평점 1도 아깝다. 상영 전부터 시작해서 디즈니 먹칠한 작품으로 기억될듯...
1,알밥들 ㅋㅋ 개많네ㅋㅋ
1,이건 재미만 없는게 아니라 볼거리도 없음;;아니 제작비로 2억 9천만달러를 썼다면서 스케일이 안시성한테도 딸리는게 말이 되냐? 솔직히 말해봐 너네 제작비 절반 중공애들한테 상납했지?
1,쓰레기같은 내용으로 버러지같은 국적의 쓰레기같은 생각을 가진 배우가 찍은 영화
1,#뮬란보이콧폭력을 옹호하는 영화 제발 보지맙시다!
1,"유치하고 재미없습니다, 액션신도 너무 억지 같고 디즈니에서 만든게 의심이 갈 정도.."
1,중국 자본 벌기 위한 디지니 영화... 공산국가를 위한 영화
1,1점도 아까운 영화인데 가장 낮게 줄 수 있는 평점이 1점 뿐이라 아쉬울 정도
1,이건뭐얌?이건뭐얌?이건뭐얌?이건뭐얌?이건뭐얌?
2,"별로 재미가 없습니다. 전투도 스케일이 크지 않고, 영화야 그러려니 하고 보는 편이지만 이해가 많이 필요합니다. 보면서 애니메이션 생각이 많이 나더군요. 보이콧을 떠나서 별로 재미가 없었습니다."
2,불면증 치료 잘 받고 나왔습니다 하하하
2,엄복동이 그리운영화입니다.
2,유치해서 못보겠더라. 이에 비하면 욕하며 봤던 반도는 걸작이다.
2,보이콧 하세요왜 논란 떴는지를 알아야합니다
1,"주연배우 유역비가 홍콩 민주화 운동이 거세던 지난해 8월, 과잉진압을 벌인 홍콩 경찰을 지지하고 나선 겁니다.전 세계 누리꾼들은 디즈니 계정에 '보이콧 뮬란' 해시태그를 보내고 불매운동을 벌였습니다.[..."
1,논란 떠나서 재미가 없어요...;;
2,와~진짜 짱깨영화의 졸작을 보여주는 최악의 영화다ㅋㅋ 그냥 발로 만들어도 이것보다 나을듯 수준이 그냥 우한코로나 바이러스 수준이다!진심 좋은 소재인  뮬란을 저리 만든인간들 한심하다!
1,안보길 잘했다~ 노래를 없고 귀여운 용이 어디갔어?
1,이걸 보고 싶음? 인권 개무시 영화 스스로 미개해지지 말자
1,Free tibet free hk
2,"고증이 엉망이다. 디즈니는 동양의 돈만 원하지, 문화에 관심은 1도 없어보인다."
2,주인공들 연기말고 볼 게 없음...
1,뮬란 애니 20-30번 본 사람이라 기대를 안고 갔는데..진짜 어떻게 영화를 이렇게 버려놓죠..무슨 한국 사극 드라마 보가 못한 퀄이에요.. 어떻게 진짜 하..
1,너무 기대를 했었나... 거기다 완전 어이없는 포인트 i believe mulan! 중국갬성 가득한 킬링타임용 영화임
1,"그들은 우리의 생명, 일상생활, 경제를 비롯해 문화계까지 망쳐가고 있다.  더는 두고볼 수 없다."
